dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
51,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Ow!,3
52,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,What happened?!,15
53,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",95
54,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,There's no such thing as magic!,31
55,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",102
56,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,Caveat Smeltona. Proudest moment of my life.,44
57,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Will I have to wear that, too?",30
58,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,"What, you? Go to Smeltings?",27
59,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,Ha!,3
60,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",146
61,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.,77
62,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,It'll fit you well enough. Go get the post.  Go!,48
63,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,"Oh, Marge is ill! Ate a funny whelk.",36
64,Harry Potter and the Philosopher's Stone,1,Dudley Dursley,Unknown,Human,Dad! Look! Harry's got a letter!,32
65,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Hey, give it back! It's mine!",29
66,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,Yours? Who'd be writing to you?,31
67,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,No more mail through this letterbox.,36
68,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,"Have a lovely day at the office, dear.",38
69,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,Shoo! Go on!,12
70,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",74
